#---------- Mon May 12 18:19:05 PDT 2025 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
0,true,0.01,1
1,true,0.01,1
2,false,0.01,1
3,true,0.01,1
4,false,0.01,1
5,false,0.01,1
6,false,0.01,1
7,false,0.01,1
8,false,0.01,1
9,true,0.01,1
10,false,0.01,1
11,false,0.01,1
12,false,0.01,1
13,false,0.01,1
14,false,0.01,1
15,false,0.01,1
16,false,0.01,1
17,false,0.01,1
18,true,0.01,1
19,false,0.01,1
20,false,0.01,1
21,false,0.01,1
22,false,0.01,1
23,false,0.01,1
24,false,0.01,1
25,false,0.01,1
26,false,0.01,1
